Microbial treatment,Light condition,Sampling,Alatospora acuminata,Clavariopsis aquatic,Heliscella stellata,Neonecria lugdunensis,Tetracladium marchalianum,Tricladium angulatum
Fungi,Dark,1,15.6863577557449,2.61269086158812,3.75430867582238,1.08045793288717,44.1919860518241,32.6741987221334
Fungi,Dark,2,18.5148986269968,4.09515984414438,13.0786270665944,2.68671795661947,47.553713197151,14.0708833086939
Fungi,Dark,3,26.0893914083989,21.5710295713801,9.00171262599956,5.20245301806719,23.5981291829589,14.5372841931953
Fungi,Dark,4,12.8915049061382,8.07289103148538,1.81154260290183,2.06848300715447,58.6577254665957,16.4978529855245
Fungi,Dark,5,28.4667578511274,2.86500220255147,17.6288930893515,4.51117615834742,38.7292248685836,7.79894583003857
Fungi,Light,1,8.82782222529141,27.1546633783914,4.32775445874235,6.97516077349177,44.5098972398343,8.20470192404873
Fungi,Light,2,8.67257416616445,1.39123723948264,7.91183838696592,4.83841178107861,58.7791078955992,18.4068305307092
Fungi,Light,3,11.1622439372165,13.1119644848183,7.05350238663305,14.2265187674266,40.7647234846363,13.6810469392693
Fungi,Light,4,6.37028854136515,23.7409810279054,6.1242014949963,11.5871815050621,41.462114298072,10.7152331325991
Fungi,Light,5,5.02631843897367,2.9341825748419,28.8704349419893,21.8247284842875,36.0704303925518,5.27390516735587
Combined low,Dark,1,21.0061256046256,25.5093479599489,2.88665597026825,8.97517462665613,33.2750870615083,8.34760877699288
Combined low,Dark,2,35.9460986474838,2.2841745440548,3.33043365002871,2.96141569625113,41.9516895982305,13.5261878639511
Combined low,Dark,3,36.2537284651524,5.42503088726079,3.19041319553436,1.35573962481592,53.5958872720484,0.179200555188109
Combined low,Dark,4,6.93692894964408,19.2812649651947,7.68673572845181,2.39629590937856,55.0309689545239,8.66780549305704
Combined low,Dark,5,44.2627087130122,23.0561028239285,4.08112391610224,5.87491402857566,18.2895080585375,4.43564245984402
Combined low,Light,1,6.70856566773109,12.9577032307591,15.0943286288637,3.82187757029302,25.8925085834104,35.5250163188406
Combined low,Light,2,16.4502821476439,27.9429748844381,4.48349581814016,3.93089910368989,45.2619154340986,1.93043261218933
Combined low,Light,3,14.2027556951881,8.8128531275422,4.54477722950413,2.91600742966314,51.3371341396737,18.1864723782287
Combined low,Light,4,16.0841609159831,1.69001032827801,6.14554681478912,10.2332999648094,50.9206065167656,14.9263754593747
Combined low,Light,5,2.95077255158256,5.18338176593695,6.05236822327195,9.99307338309148,57.1046949252018,18.7157091511152
Combined high,Dark,1,5.32717779144469,1.51626990030122,16.6029455035674,7.46242067618526,52.1780932658537,16.9130928626477
Combined high,Dark,2,9.18234146552389,1.47566185989384,11.8373592892097,1.61008723608353,65.2556687198452,10.6388814294439
Combined high,Dark,3,12.9559877117268,3.6836689170266,10.2856410093587,5.24551908898523,51.4053145418352,16.4238687308675
Combined high,Dark,4,5.21574099351106,12.1937145220539,7.96551040830774,3.32158615773153,58.4208828531326,12.8825650652632
Combined high,Dark,5,9.23959579605879,22.3358568368152,7.70330755515174,1.40778661848386,14.2020768205576,45.1113763729327
Combined high,Light,1,12.1811893205141,3.80743747220177,2.65023775390655,2.72825652847221,55.3871796907248,23.2456992341805
Combined high,Light,2,10.9227556079284,6.68045318395553,2.92484052838803,1.38785237717438,46.1213566563034,31.9627416462503
Combined high,Light,3,7.36468633496123,17.3365128967275,0.795915996146848,2.16667239873527,71.7067403486200,0.629472024809111
Combined high,Light,4,6.93942802523965,5.65169746613946,10.3659653342457,4.63521691553964,66.0237839435974,6.3839083152381
Combined high,Light,5,9.32953101694043,11.1623915711679,4.88805343356777,2.46515696768107,50.6882274919606,21.4666395186821